City,State,Metro,CountyName,SizeRank,Coordinates,Moving_Growth_2010_12,Moving_Growth_2013_15,Moving_Growth_2016_18,Avg_Median_2010_12,Avg_Median_2013_15,Avg_Median_2016_18
New York,NY,New York-Newark-Jersey City,Queens County,1,"40.7127837, -74.0059413",-0.010822841279810584,0.029646454408166004,0.008974571898994511,430851.0833333333,519426.19444444444,797143.5882352941
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,"34.0522342, -118.2436849",-0.0123738291346741,0.026726033241505163,0.011194832177333403,401714.55555555556,575669.4166666666,737534.8676470588
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,"41.8781136, -87.6297982",-0.018004103564489945,0.020079489201242938,0.01435443620561005,233959.38888888888,244374.27777777778,294250.6911764706
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,"29.7604267, -95.3698028",-0.00018238141018430318,0.04427160198479545,-0.001651279802125982,150295.11111111112,222898.38888888888,295898.54411764705
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,"29.4241219, -98.4936282",0.0016065137180949819,0.022958935578594304,0.0005291755159229397,153897.86111111112,200503.125,234468.45588235295
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,"39.9525839, -75.1652215",0.0027972599532605164,0.012350131829638088,0.025329209256994042,147563.88888888888,149647.15277777778,183938.23529411765
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,"33.4483771, -112.0740373",-0.014733540180109677,0.027140376617261482,0.007204704736420901,125285.44444444444,216282.16666666666,268950.0588235294
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,"36.1699412, -115.1398296",-0.016833371681370782,0.03350126962520723,0.02133518045663594,132420.41666666666,189434.08333333334,265974.89705882355
San Diego,CA,San Diego-Carlsbad,San Diego County,9,"32.715738, -117.1610838",-0.013270108637508328,0.023856815467891517,0.006517947965205351,394210.15277777775,510162.1388888889,638314.1617647059
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,"32.7766642, -96.7969879",9.937651809098936e-05,0.024317659956560923,0.015235134727909806,207617.83333333334,266451.94444444444,376205.8823529412
San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,11,"37.3382082, -121.8863286",-0.0025268045986346754,0.024103098172425123,0.019427493432402076,475329.7083333333,657679.25,860229.3235294118
Austin,TX,Austin-Round Rock,Travis County,12,"30.267153, -97.7430608",0.0015160061096362095,0.021675400772970435,0.005242144929657326,241808.65277777778,329346.0416666667,384114.14705882355
Jacksonville,FL,Jacksonville,Duval County,13,"30.3321838, -81.655651",-0.011142352262947406,0.010678573722982603,0.012999315423343117,132519.58333333334,158444.22222222222,189789.70588235295
San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,14,"37.7749295, -122.4194155",-0.002701679163467477,0.010542256887850281,0.027668008482915986,109360.81944444444,118994.69444444444,140723.45588235295
Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,15,"39.768403, -86.158068",-0.00744696252663379,0.01835485721497911,0.015595627622817618,166279.54166666666,202057.94444444444,278232.2205882353
Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,16,"35.2270869, -80.8431267",0.0032477919698844383,0.014788063403281862,0.01811989789986817,144446.26388888888,175803.88888888888,231473.3088235294
Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,"32.7554883, -97.3307658",-0.00752567371172677,0.01926855241165494,0.01923375552310451,110864.38888888889,117758.33333333333,155526.4411764706
Columbus,OH,Columbus,Franklin County,18,"32.4609764, -84.9877094",-0.023386656163585685,0.014260616668290637,0.011362214061906881,152202.5,176805.23611111112,204734.32352941178
Tucson,AZ,Tucson,Pima County,19,"32.2217429, -110.926479",,,,,,
Louisville,KY,Louisville/Jefferson County,Jefferson County,20,"38.2526647, -85.7584557",,,0.013005482857408704,,,257703.51470588235
El Paso,TX,El Paso,El Paso County,21,"31.7775757, -106.4424559",-0.0032039772613729656,0.03238964623194245,0.004974766123784441,256017.70833333334,364739.375,465179.98529411765
Detroit,MI,Detroit-Warren-Dearborn,Wayne County,22,"42.331427, -83.0457538",-0.01121609640784561,0.01936912064648649,0.022457492480719262,376680.5416666667,449106.94444444444,639304.0588235294
Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,23,"28.5383355, -81.3792365",,,0.017990603399226462,,,92823.05882352941
Denver,CO,Denver-Aurora-Lakewood,Denver County,24,"39.7392358, -104.990251",-0.0037172691098932838,0.011030276957940162,0.017862844313043115,393062.5,498633.6388888889,680477.7647058824
Seattle,WA,Seattle-Tacoma-Bellevue,King County,25,"47.6062095, -122.3320708",0.012273460948631944,0.01312660008664247,0.012017668201399039,371753.93055555556,456300.0,555560.4705882353
Memphis,TN,Memphis,Shelby County,26,"35.1495343, -90.0489801",-0.007870010372997756,0.03706559246924181,0.012541405122420322,159000.97222222222,217556.54166666666,323371.2205882353
Boston,MA,Boston-Cambridge-Newton,Suffolk County,27,"42.3600825, -71.0588801",-0.005751207225156626,0.018991122257190615,0.01720700484365548,258505.72222222222,324668.7361111111,427028.64705882355
